Store,Cashback (%),Link
Agoda,12,https://www.shopback.com.au/agoda
Uber Eats,25,https://www.shopback.com.au/ubereats
BIG W,15,https://www.shopback.com.au/bigw
David Jones,12,https://www.shopback.com.au/david-jones
Foot Locker,12.5,https://www.shopback.com.au/footlocker
Petstock,20,https://www.shopback.com.au/petstock
DoorDash,5,https://www.shopback.com.au/doordash-australia
The Good Guys,4,https://www.shopback.com.au/the-good-guys
Cotton On & Co,10,https://www.shopback.com.au/cotton-on-co
Domino's,20,https://www.shopback.com.au/dominos
Best & Less,15,https://www.shopback.com.au/best-and-less
Kiehl's,17,https://www.shopback.com.au/kiehls
Amazon,7,https://www.shopback.com.au/amazon-australia
Booking.com,5.5,https://www.shopback.com.au/booking-com
Temu,25,https://www.shopback.com.au/temu
Woolworths Online,1,https://www.shopback.com.au/woolworths
Coles,0.15,https://www.shopback.com.au/coles
SHEIN,7.2,https://www.shopback.com.au/shein
Agoda,12,https://www.shopback.com.au/agoda
Prime Survey,50,https://www.shopback.com.au/prime-survey
Uber Eats,25,https://www.shopback.com.au/ubereats
BIG W,15,https://www.shopback.com.au/bigw
Trip.com,6,https://www.shopback.com.au/trip-com
Expedia,6,https://www.shopback.com.au/expedia-australia
Myer,2.7,https://www.shopback.com.au/myer
Chemist Warehouse,0.7,https://www.shopback.com.au/chemist-warehouse
adidas,4,https://www.shopback.com.au/adidas
David Jones,12,https://www.shopback.com.au/david-jones
Foot Locker,12.5,https://www.shopback.com.au/footlocker
Bonds,3.5,https://www.shopback.com.au/bonds
Petstock,20,https://www.shopback.com.au/petstock
DoorDash,5,https://www.shopback.com.au/doordash-australia
The Good Guys,4,https://www.shopback.com.au/the-good-guys
Cotton On & Co,10,https://www.shopback.com.au/cotton-on-co
BWS,2.8,https://www.shopback.com.au/bws
Temple & Webster,5,https://www.shopback.com.au/temple-and-webster
Adore Beauty,2,https://www.shopback.com.au/adore-beauty
Country Road,3.5,https://www.shopback.com.au/country-road
Lancome,4.6,https://www.shopback.com.au/lancome
Klook,5.5,https://www.shopback.com.au/klook
Wotif,7,https://www.shopback.com.au/wotif
Domino's,20,https://www.shopback.com.au/dominos
Sephora,4,https://www.shopback.com.au/sephora
iHerb,1.5,https://www.shopback.com.au/iherb
MyDeal.com.au,3,https://www.shopback.com.au/mydeal
Best & Less,15,https://www.shopback.com.au/best-and-less
Kiehl's,17,https://www.shopback.com.au/kiehls
lululemon,2.5,https://www.shopback.com.au/lululemon
Etsy,4,https://www.shopback.com.au/etsy
Shopify,40,https://www.shopback.com.au/shopify
New Balance,3.5,https://www.shopback.com.au/new-balance
rebel,1.5,https://www.shopback.com.au/rebel
GetYourGuide,3,https://www.shopback.com.au/get-your-guide
Pizza Hut,3,https://www.shopback.com.au/pizza-hut
Boost Mobile,35,https://www.shopback.com.au/boost-mobile
Viator - A TripAdvisor Company,12,https://www.shopback.com.au/viator
JD Sports,2,https://www.shopback.com.au/jd-sports
Compare Electricity and Gas,160,https://www.shopback.com.au/compare-electricity-gas
Dyson,2,https://www.shopback.com.au/dyson
Uber Rider,20,https://www.shopback.com.au/uber-rider
ASOS,3.6,https://www.shopback.com.au/asos
Flight Centre,10.5,https://www.shopback.com.au/flight-centre
Vodafone Mobile,80,https://www.shopback.com.au/vodafone
Luxury Escapes,4,https://www.shopback.com.au/luxury-escapes
Beauty Amora,9.1,https://www.shopback.com.au/beauty-amora
Nespresso,4,https://www.shopback.com.au/nespresso-australia
Apple Store Online,1,https://www.shopback.com.au/apple
Accor Live Limitless,2.5,https://www.shopback.com.au/accor-live-limitless
Groupon,3,https://www.shopback.com.au/groupon
Forever New,4.2,https://www.shopback.com.au/forever-new
Ticketek,0.25,https://www.shopback.com.au/ticketek
Baby Bunting,1.5,https://www.shopback.com.au/baby-bunting
H&M,1.5,https://www.shopback.com.au/hm
ShopBack Survey - Snap & Earn Program_August,0,https://www.shopback.com.au/sb-survey-snapearnaugust
Lucid Survey,10,https://www.shopback.com.au/lucid-survey
Everyday Market,1,https://www.shopback.com.au/everyday-market
Estee Lauder,4.2,https://www.shopback.com.au/estee-lauder
Survey Wall,50,https://www.shopback.com.au/survey-wall
Xero,50,https://www.shopback.com.au/xero
Compare The Market,100,https://www.shopback.com.au/compare-the-market
Princess Polly,3,https://www.shopback.com.au/princess-polly
Healthylife,7,https://www.shopback.com.au/healthylife
ShopBack Survey - ShopFest Australia Survey,0,https://www.shopback.com.au/sb-survey-shopfestaustralia
Optus,14,https://www.shopback.com.au/optus
Glassons,2.4,https://www.shopback.com.au/glassons
City Beach,7,https://www.shopback.com.au/city-beach
Pillow Talk,5.6,https://www.shopback.com.au/pillow-talk
White Fox Boutique,2.4,https://www.shopback.com.au/white-fox-boutique
Stylevana,10.5,https://www.shopback.com.au/stylevana
Airalo,14,https://www.shopback.com.au/airalo
Elite Supps,20,https://www.shopback.com.au/elite-supps
Pelago by Singapore Airlines,23,https://www.shopback.com.au/pelago-by-singapore-airlines
Cotton On KIDS,10,https://www.shopback.com.au/cotton-on-kids
La Roche-Posay,20,https://www.shopback.com.au/la-roche-posay
The Collagen Co.,25,https://www.shopback.com.au/the-collagen-co
ShopBack Surveys - Swisse,0,https://www.shopback.com.au/shopback-surveys-swisse
Lorna Jane,4,https://www.shopback.com.au/lorna-jane
Liquorland,2,https://www.shopback.com.au/liquorland
Sydney Airport Parking,2.1,https://www.shopback.com.au/sydney-airport-parking
Samsung,5,https://www.shopback.com.au/samsung-au
VistaPrint,3.15,https://www.shopback.com.au/vistaprint
Strand,7,https://www.shopback.com.au/strand
Under Armour,4,https://www.shopback.com.au/under-armour
Europcar,7,https://www.shopback.com.au/europcar
Fantastic Furniture,2,https://www.shopback.com.au/fantasticfurniture
ShopBack Survey - Snap Survey,0,https://www.shopback.com.au/sb-survey-snapsurvey
LEGO,6.3,https://www.shopback.com.au/lego
Nike,2,https://www.shopback.com.au/nike
LSKD,10.5,https://www.shopback.com.au/lskd
Puma,10.5,https://www.shopback.com.au/puma
Hotels.com,3,https://www.shopback.com.au/hotels-com
Witchery,3,https://www.shopback.com.au/witchery
Kitchen Warehouse,4.2,https://www.shopback.com.au/kitchen-warehouse
Crocs,8.4,https://www.shopback.com.au/crocs-australia
Supercheap Auto,1.4,https://www.shopback.com.au/supercheap-auto
Disney+,25,https://www.shopback.com.au/disney-plus
Qatar Airways,3.5,https://www.shopback.com.au/qatar-airways
BCF,1.5,https://www.shopback.com.au/bcf
YSL Beauty,20,https://www.shopback.com.au/ysl-beauty
Amazon Music Unlimited,2.2,https://www.shopback.com.au/amazon-music-unlimited
Sportsgirl,2,https://www.shopback.com.au/sportsgirl
City Chic,8.4,https://www.shopback.com.au/city-chic
Koala,2,https://www.shopback.com.au/koala
ASICS,2.5,https://www.shopback.com.au/asics
Skyscanner,3.5,https://www.shopback.com.au/skyscanner
Harris Scarfe,1.2,https://www.shopback.com.au/harris-scarfe
Muscle Nation,8.4,https://www.shopback.com.au/muscle-nation
Youfoodz,45,https://www.shopback.com.au/youfoodz
Stayz,6,https://www.shopback.com.au/stayz
Bed Bath N' Table,4.8,https://www.shopback.com.au/bed-bath-n-table
Kathmandu,7,https://www.shopback.com.au/kathmandu
Meshki,4,https://www.shopback.com.au/meshki
Showpo,4.2,https://www.shopback.com.au/showpo
Aje.,3.5,https://www.shopback.com.au/aje
Cover-More Travel Insurance,9,https://www.shopback.com.au/cover-more-travel-insurance
Myprotein,12,https://www.shopback.com.au/myprotein
Platypus Shoes,7,https://www.shopback.com.au/platypus-shoes
Exetel,85,https://www.shopback.com.au/exetel-australia
Paula's Choice,8.5,https://www.shopback.com.au/paulas-choice
Lovehoney,9,https://www.shopback.com.au/lovehoney
Culture Kings,3,https://www.shopback.com.au/culturekings
Petal & Pup,4.25,https://www.shopback.com.au/petal-pup
"Health, Skincare & Hair Essentials at Chemist Warehouse",20,https://www.shopback.com.au/health-skincare-hair-essentials-cwh
SHEIKE,2.4,https://www.shopback.com.au/sheike
House AU,6.3,https://www.shopback.com.au/house
IHG Hotels & Resorts,1,https://www.shopback.com.au/ihg-hotels-and-resorts
Spotlight,1.5,https://www.shopback.com.au/spotlight
HelloFresh,80,https://www.shopback.com.au/hellofresh
CHARLES & KEITH,10.5,https://www.shopback.com.au/charles-keith
AVIS,9.1,https://www.shopback.com.au/avis
EnergyAustralia (Compare),160,https://www.shopback.com.au/energyaustralia
Traveloka,6,https://www.shopback.com.au/traveloka
Giorgio Armani Beauty,16,https://www.shopback.com.au/giorgio-armani-beauty
PrettyLittleThing,10.5,https://www.shopback.com.au/prettylittlething
Specsavers,4.8,https://www.shopback.com.au/specsavers
Lenovo,2.75,https://www.shopback.com.au/lenovo
Red Energy (Compare),160,https://www.shopback.com.au/red-energy
Aunt Betty Travel,1.4,https://www.shopback.com.au/aunt-betty-travel
YesStyle,2.4,https://www.shopback.com.au/yesstyle
Shoes & Sox,9,https://www.shopback.com.au/shoes-and-sox
Coach Outlet,7,https://www.shopback.com.au/coach-outlet
Bing Lee,1.5,https://www.shopback.com.au/bing-lee
Broadband Comparison,90,https://www.shopback.com.au/broadband-comparison
The Athlete's Foot,3,https://www.shopback.com.au/the-athletes-foot
Sony,15,https://www.shopback.com.au/sony
HALARA,7,https://www.shopback.com.au/halara
Swaggle Pets,4,https://www.shopback.com.au/swaggle
amaysim Mobile,65,https://www.shopback.com.au/amaysim-mobile
Ninja Kitchen,4,https://www.shopback.com.au/ninja-australia
Skechers,3.6,https://www.shopback.com.au/skechers
Tmall,0.8,https://www.shopback.com.au/tmall
Stylerunner,2.5,https://www.shopback.com.au/stylerunner
Kerastase,10,https://www.shopback.com.au/kerastase
Converse,3.5,https://www.shopback.com.au/converse
Purebaby,1.8,https://www.shopback.com.au/purebaby
Novo Shoes,10.5,https://www.shopback.com.au/novo-shoes
MAC Cosmetics,4.6,https://www.shopback.com.au/mac-cosmetics
First Choice Liquor,2,https://www.shopback.com.au/first-choice-liquor
Jo Mercer,3,https://www.shopback.com.au/jo-mercer
Pandora,1.5,https://www.shopback.com.au/pandora
Shaver Shop,2,https://www.shopback.com.au/shaver-shop
Olive Young,3,https://www.shopback.com.au/olive-young
OZSALE,0.5,https://www.shopback.com.au/ozsale
Bras N Things,8.4,https://www.shopback.com.au/bras-n-things
Budget,9.1,https://www.shopback.com.au/budget-australia
Freedom,2.5,https://www.shopback.com.au/freedom
NordVPN,10,https://www.shopback.com.au/nordvpn
Farfetch,7,https://www.shopback.com.au/farfetch
RedBalloon,1.5,https://www.shopback.com.au/redballoon
Swarovski,7,https://www.shopback.com.au/swarovski
Powershop (Compare),160,https://www.shopback.com.au/powershop
Sunglass Hut,9.1,https://www.shopback.com.au/sunglass-hut
QT Hotels & Resorts,0.9,https://www.shopback.com.au/qt-hotels-resorts
Boody Eco Wear,7,https://www.shopback.com.au/boody-eco-wear
Emirates,2,https://www.shopback.com.au/emirates
MACROS,14,https://www.shopback.com.au/macros
Superdry,4.2,https://www.shopback.com.au/superdry
Tony Bianco,11,https://www.shopback.com.au/tony-bianco
Revolve,2.5,https://www.shopback.com.au/revolve
Sussan,1,https://www.shopback.com.au/sussan
Samsonite,3,https://www.shopback.com.au/samsonite
RentalCars.com,5.2,https://www.shopback.com.au/rentalcars
Ecosa,1,https://www.shopback.com.au/ecosa
Superloop,40,https://www.shopback.com.au/superloop
My Muscle Chef,4.2,https://www.shopback.com.au/my-muscle-chef
Oroton,3.5,https://www.shopback.com.au/oroton
Betts,3,https://www.shopback.com.au/betts
Youi Insurance,30,https://www.shopback.com.au/youi
NET-A-PORTER,10,https://www.shopback.com.au/net-a-porter
St Frock,4.8,https://www.shopback.com.au/st-frock
JSHealth Vitamins,3,https://www.shopback.com.au/jshealth-vitamins
Chemist Direct,3,https://www.shopback.com.au/chemist-direct
Petpost,1.8,https://www.shopback.com.au/petpost
Anaconda,1.2,https://www.shopback.com.au/anaconda
Gymshark,7,https://www.shopback.com.au/gymshark
Sabo,2.1,https://www.shopback.com.au/sabo-skirt
Hype DC,0.6,https://www.shopback.com.au/hype-dc
Mimco,7,https://www.shopback.com.au/mimco
Casetify,4.8,https://www.shopback.com.au/casetify
Modibodi,9,https://www.shopback.com.au/modibodi
Binge,30,https://www.shopback.com.au/binge
The Oodie,5.6,https://www.shopback.com.au/the-oodie
Dusk,3,https://www.shopback.com.au/dusk
HP Australia,10,https://www.shopback.com.au/hp-australia
mycar Tyre & Auto,7.5,https://www.shopback.com.au/mycar
UGG Express,7,https://www.shopback.com.au/ugg-express
Accor Plus,4.8,https://www.shopback.com.au/accor-plus
QBD Books,3.15,https://www.shopback.com.au/qbd-books
Supre,4.25,https://www.shopback.com.au/supre
Shark,3,https://www.shopback.com.au/shark-australia
Gorman,5,https://www.shopback.com.au/gorman
Lyca Mobile,8,https://www.shopback.com.au/lyca-mobile
Adobe,50,https://www.shopback.com.au/adobe
VetSupply,4.2,https://www.shopback.com.au/vetsupply
EveryPlate,70,https://www.shopback.com.au/everyplate
Tick Travel Insurance,4,https://www.shopback.com.au/tick-travel-insurance
LG AU,10,https://www.shopback.com.au/lg-au
Mocka,1.8,https://www.shopback.com.au/mocka
Tommy Hilfiger,5.6,https://www.shopback.com.au/tommy-hilfiger
TripAdvisor,2.3,https://www.shopback.com.au/tripadvisor
General Pants Co,2,https://www.shopback.com.au/general-pants-co
Glue Store,2.4,https://www.shopback.com.au/glue-store
Ray-Ban,9.1,https://www.shopback.com.au/ray-ban
Styletread,5,https://www.shopback.com.au/styletread
Alinta Energy (Compare),160,https://www.shopback.com.au/alinta-energy
Trainline,14,https://www.shopback.com.au/trainline
Cotton On BODY,10,https://www.shopback.com.au/cotton-on-body
Endota Spa,4.2,https://www.shopback.com.au/endota-spa
L'occitane,9,https://www.shopback.com.au/loccitane
Aussie Broadband,63,https://www.shopback.com.au/aussie-broadband-cimet
Rockwear,4.5,https://www.shopback.com.au/rockwear
Hostelworld,2.25,https://www.shopback.com.au/hostelworld
Dyson Beauty,2.45,https://www.shopback.com.au/dyson-beauty
Kayak,0.52,https://www.shopback.com.au/kayak
Canningvale,6.5,https://www.shopback.com.au/canningvale
Williams Shoes,1.8,https://www.shopback.com.au/williams-shoes
Mountain Warehouse,3,https://www.shopback.com.au/mountain-warehouse
Bose,6,https://www.shopback.com.au/bose
Saba,3,https://www.shopback.com.au/saba
SkinCeuticals,10,https://www.shopback.com.au/skinceuticals
4WD Supacentre,2.5,https://www.shopback.com.au/4wd-supacentre
Brooks Running,4.2,https://www.shopback.com.au/brooks-running
Hoka,2.25,https://www.shopback.com.au/hoka
Ink Station,0.5,https://www.shopback.com.au/ink-station
boohoo,10,https://www.shopback.com.au/boohoo
Clinique,6.6,https://www.shopback.com.au/clinique
OVO Energy (Compare),160,https://www.shopback.com.au/ovo-energy-compare
MYOB,48,https://www.shopback.com.au/myob
Aerre,6,https://www.shopback.com.au/aerre
Calvin Klein,5.6,https://www.shopback.com.au/calvin-klein
Who Gives A Crap,1,https://www.shopback.com.au/who-gives-a-crap-australia
Omio,6,https://www.shopback.com.au/omio
ghd,8.5,https://www.shopback.com.au/ghd
Ally Fashion,5.4,https://www.shopback.com.au/ally-fashion
Sheridan Outlet,3.6,https://www.shopback.com.au/sheridan-outlet
East Coast Car Rentals,10.5,https://www.shopback.com.au/east-coast-car-rentals
Sheet Society,2.5,https://www.shopback.com.au/sheet-society
Dodo Power & Gas (Compare),160,https://www.shopback.com.au/dodo-power-and-gas
American Tourister,20,https://www.shopback.com.au/american-tourister
Southern Cross Travel Insurance,5,https://www.shopback.com.au/southern-cross-travel-insurance
Soulara,12,https://www.shopback.com.au/soulara
Suzanne Grae,7.7,https://www.shopback.com.au/suzanne-grae
Oakley,9.8,https://www.shopback.com.au/oakley
The Memo,1.8,https://www.shopback.com.au/the-memo
Coinbase,18,https://www.shopback.com.au/coinbase
CAMILLA,4.2,https://www.shopback.com.au/camilla
Experience Oz,1.8,https://www.shopback.com.au/experience-oz
Singapore Airlines,0.25,https://www.shopback.com.au/singapore-airlines
The North Face,2.6,https://www.shopback.com.au/the-north-face
Lacoste,7,https://www.shopback.com.au/lacoste
Autobarn,1.8,https://www.shopback.com.au/autobarn
Dell,8,https://www.shopback.com.au/dell-australia
InsureandGo Travel Insurance,4,https://www.shopback.com.au/insureandgo
Surfshark VPN,10,https://www.shopback.com.au/surfshark
SHIELS,3.6,https://www.shopback.com.au/shiels
T2 Tea,3,https://www.shopback.com.au/t2-tea
Lasoo,7,https://www.shopback.com.au/lasoo
Moomoo,100,https://www.shopback.com.au/moomoo
Etihad Airways,0.25,https://www.shopback.com.au/etihad-airways
Clearly,10,https://www.shopback.com.au/clearly
Reebok,5,https://www.shopback.com.au/reebok
COS,5.3,https://www.shopback.com.au/cos
Marley Spoon,12.5,https://www.shopback.com.au/marley-spoon
Sportscraft,7,https://www.shopback.com.au/sportscraft
Dangerfield,6,https://www.shopback.com.au/dangerfield
Southern Phone,30,https://www.shopback.com.au/southern-phone
Levi's,6.3,https://www.shopback.com.au/levis
KKday,3.5,https://www.shopback.com.au/kkday
Blanco,40,https://www.shopback.com.au/blanco
Nude Lucy,2,https://www.shopback.com.au/nude-lucy
Taking Shape,3,https://www.shopback.com.au/taking-shape
Surf Dive 'n Ski,5,https://www.shopback.com.au/surf-dive-n-ski
